RST-Relation,Group-1,Group-0
joint,0.31717781662164307,0.26693973083674666
elaboration,0.15874781503257587,0.17554125219426564
adversative,0.10551406324487526,0.10380339379754243
causal,0.07865882726839345,0.047708211429685975
context,0.07325599872874623,0.06592549249073533
attribution,0.06531066264102972,0.0703335283791691
evaluation,0.04369934848244081,0.047708211429685975
explanation,0.03654854600349595,0.06900721669592354
same-unit,0.0320991577943747,0.03869709381704701
organization,0.02304147465437788,0.02765749951238541
mode,0.01604957889718735,0.01704700604642091
restatement,0.014778325123152709,0.015135556855861128
purpose,0.014460511679644048,0.019153501072752096
contingency,0.014301604957889718,0.02270333528379169
topic,0.006356268870173209,0.012638970157987126
