,Feature,Median_Positive,Median_Negative,IQR_Positive,IQR_Negative,Min_Positive,Min_Negative,Max_Positive,Max_Negative,MannWhitney_U,p_raw,Cliffs_Delta,Effect_Size,n_pos,n_neg,p_adj,reject
0,Solutionhood,0.0,0.016,0.0,0.038,0.0,0.0,0.125,0.194,16573.5,0.0,-0.326,small,110,447,0.0,True
1,Condition,0.04,0.062,0.048,0.061,0.0,0.0,0.3,0.214,18119.0,0.0,-0.263,small,110,447,0.0,True
2,edu_len_std,18.922,21.574,7.234,6.868,9.093,11.064,83.971,40.523,18204.0,0.0,-0.26,small,110,447,0.0,True
3,Sequence,0.012,0.0,0.053,0.02,0.0,0.0,0.385,0.288,30723.5,0.0,0.25,small,110,447,0.0,True
4,edu_len_p90,61.9,66.2,17.85,17.3,34.6,40.2,215.7,119.3,18621.5,0.0,-0.243,small,110,447,0.0,True
5,rel_entropy,1.884,1.952,0.307,0.256,1.157,1.309,2.354,2.363,19171.5,0.0,-0.22,small,110,447,0.002,True
6,edu_len_mean,36.471,38.978,10.499,8.822,19.993,23.74,87.75,67.821,19414.0,0.001,-0.21,small,110,447,0.003,True
7,tree_depth,11.0,12.0,3.0,2.0,6.0,7.0,21.0,19.0,19753.5,0.001,-0.197,small,110,447,0.004,True
8,Evidence,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0.093,20745.0,0.003,-0.156,small,110,447,0.01,True
9,Attribution,0.02,0.027,0.042,0.037,0.0,0.0,0.136,0.174,20920.0,0.014,-0.149,small,110,447,0.04,True
10,Cause-effect,0.086,0.067,0.077,0.063,0.0,0.0,0.214,0.355,28040.5,0.022,0.141,negligible,110,447,0.057,False
11,Purpose,0.011,0.019,0.029,0.039,0.0,0.0,0.222,0.16,21443.5,0.031,-0.128,negligible,110,447,0.073,False
12,Restatement,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.135,22876.5,0.051,-0.069,negligible,110,447,0.11,False
13,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.031,25201.0,0.062,0.025,negligible,110,447,0.125,False
14,nucl_SN_relprop,0.162,0.171,0.085,0.097,0.0,0.021,0.562,0.442,21852.5,0.071,-0.111,negligible,110,447,0.132,False
15,Contrast,0.115,0.125,0.061,0.084,0.0,0.0,0.375,0.304,21899.0,0.076,-0.109,negligible,110,447,0.132,False
16,Comparison,0.0,0.0,0.017,0.022,0.0,0.0,0.091,0.167,22424.5,0.109,-0.088,negligible,110,447,0.179,False
17,num_edus,50.0,50.0,40.75,16.0,11.0,13.0,169.0,157.0,22210.5,0.116,-0.097,negligible,110,447,0.181,False
18,Interpretation-evaluation,0.055,0.05,0.061,0.054,0.0,0.0,0.276,0.297,26548.5,0.194,0.08,negligible,110,447,0.259,False
19,nucl_NN_relprop,0.514,0.5,0.136,0.124,0.2,0.209,0.769,0.773,26549.0,0.194,0.08,negligible,110,447,0.259,False
20,same-unit,0.0,0.015,0.026,0.028,0.0,0.0,0.103,0.143,22691.5,0.187,-0.077,negligible,110,447,0.259,False
21,depth_per_edu,0.255,0.238,0.154,0.069,0.089,0.102,0.643,0.538,26267.0,0.266,0.068,negligible,110,447,0.339,False
22,rel_top2_dom,0.144,0.119,0.167,0.154,0.0,0.0,0.435,0.462,25895.0,0.386,0.053,negligible,110,447,0.47,False
23,Joint,0.329,0.306,0.16,0.14,0.05,0.0,0.571,0.569,25758.0,0.438,0.048,negligible,110,447,0.511,False
24,Elaboration,0.176,0.171,0.088,0.09,0.0,0.04,0.375,0.381,25489.5,0.55,0.037,negligible,110,447,0.616,False
25,Concession,0.0,0.0,0.014,0.019,0.0,0.0,0.087,0.091,23967.0,0.63,-0.025,negligible,110,447,0.678,False
26,Preparation,0.028,0.026,0.027,0.026,0.0,0.0,0.364,0.167,25132.0,0.717,0.022,negligible,110,447,0.744,False
27,nucl_NS_relprop,0.328,0.326,0.112,0.102,0.077,0.111,0.6,0.571,24213.0,0.806,-0.015,negligible,110,447,0.806,False
